participant_number,target_word,target_word_pos,position_time_pairs,file-name,upload-time-stamp,primary_key
102,voiture,4854,"[[-4854, 1.21], [-4672, 1.21], [-4506, 2.18], [-4507, 2.18], [-4312, 3.36], [-175, 10.56], [3, 14.05], [26, 20.23], [32, 22.5], [35, 24.1], [35, 24.1], [0, 33.46]]",p102-211039.csv,"2025-11-17 20:16:12.234246",75
102,dindon,1466,"[[-1303, 0.94], [-1234, 1.53], [-1235, 1.53], [-1060, 2.73], [-1061, 2.73], [-857, 3.91], [303, 5.48], [0, 7.97], [20, 9.93], [20, 9.93], [0, 14.27]]",p102-211039.csv,"2025-11-17 20:16:12.234246",76
102,récurrence,3783,"[[-3552, 0.78], [-3319, 1.4], [101, 5.24], [-25, 8.0], [-25, 8.0], [-6, 12.57], [-6, 12.57], [-13, 16.62], [-21, 18.77], [-5, 24.05], [1, 26.94], [0, 28.34]]",p102-211039.csv,"2025-11-17 20:16:12.234246",77
102,vestiaires,4780,"[[-4780, 1.44], [-4510, 1.44], [-4345, 2.24], [-4346, 2.24], [-4200, 3.41], [56, 9.87], [46, 9.87], [-17, 11.82], [-17, 11.82], [1, 15.41]]",p102-211039.csv,"2025-11-17 20:16:12.234246",78
102,galonner,2026,"[[-2026, 1.22], [-1795, 1.22], [-1552, 2.16], [172, 3.73], [-16, 5.64], [15, 6.66], [-6, 8.31], [-6, 8.31], [1, 10.15]]",p102-211039.csv,"2025-11-17 20:16:12.234246",79
102,gaspillages,2038,"[[0, 1.68], [-28, 2.05], [422, 3.76], [45, 4.4], [401, 4.92], [150, 6.1], [527, 8.16], [-28, 9.51], [45, 10.19], [-7, 12.08], [-7, 12.08], [2, 14.27], [0, 15.86]]",p102-211039.csv,"2025-11-17 20:16:12.234246",80
102,vulvaires,4883,"[[-4642, 0.92], [-4448, 1.64], [-4449, 1.64], [-4449, 2.71], [-4303, 2.71], [-26, 8.88], [-36, 9.45], [6, 10.28], [-36, 11.58], [-36, 11.58], [-1, 17.87], [1, 18.66], [0, 19.96]]",p102-211039.csv,"2025-11-17 20:16:12.234246",81
103,vulvaires,4883,"[[-4883, 2.78], [-4584, 2.78], [-2415, 4.07], [-2347, 6.12], [-319, 10.14], [-329, 10.33], [-78, 12.98], [13, 17.42], [-3, 22.58], [-4, 22.79], [0, 26.75]]",p103-150234.csv,"2025-11-19 14:09:47.088777",82
103,guerre,2122,"[[-2122, 1.62], [-1823, 1.62], [-1667, 3.21], [118, 4.64], [-217, 5.5], [24, 7.17], [-39, 9.05], [-51, 11.28], [8, 20.7], [2, 22.96], [2, 22.96], [4, 24.13], [0, 27.0]]",p103-150234.csv,"2025-11-19 14:09:47.088777",83
103,gaspillages,2038,"[[-2038, 1.92], [-1748, 3.31], [160, 4.82], [3, 7.23], [0, 7.87], [2, 8.32], [0, 9.81]]",p103-150234.csv,"2025-11-19 14:09:47.088777",84
103,voiture,4854,"[[-4854, 1.41], [-4555, 1.41], [-3393, 2.13], [-2331, 4.69], [-2520, 5.09], [14, 12.08], [22, 13.59], [-2, 17.36], [0, 19.04]]",p103-150234.csv,"2025-11-19 14:09:47.088777",85
103,dindon,1466,"[[-1466, 2.16], [-1273, 3.18], [-231, 4.24], [-220, 4.37], [177, 6.27], [31, 8.85], [-28, 17.65], [-17, 21.98], [-21, 23.7], [2, 26.62], [0, 28.51]]",p103-150234.csv,"2025-11-19 14:09:47.088777",86
103,damasquinerie,1213,"[[-1213, 1.33], [535, 4.55], [410, 4.98], [724, 6.14], [95, 9.34], [4, 18.39], [13, 20.04], [-2, 23.1], [1, 23.82], [0, 25.09]]",p103-150234.csv,"2025-11-19 14:09:47.088777",87
103,vestiaires,4780,"[[-4480, 2.4], [-352, 3.71], [-467, 4.72], [4, 8.9], [4, 8.9], [3, 9.06], [13, 11.51], [-13, 13.6], [1, 17.8], [0, 19.07]]",p103-150234.csv,"2025-11-19 14:09:47.088777",88
103,dame,1214,"[[-1214, 1.21], [-886, 1.21], [-663, 2.41], [314, 3.02], [220, 4.51], [0, 23.65], [2, 24.29], [-4, 26.81], [0, 29.09]]",p103-150234.csv,"2025-11-19 14:09:47.088777",89
103,rouillures,4065,"[[-3765, 2.34], [-3679, 2.35], [301, 3.87], [302, 4.92], [59, 4.92], [185, 4.92], [719, 10.16], [-45, 16.31], [-35, 18.16], [-8, 21.67], [0, 23.21], [-1, 23.83], [9, 26.47], [0, 30.3]]",p103-150234.csv,"2025-11-19 14:09:47.088777",90
103,galonner,2026,"[[-1814, 0.97], [-1649, 3.03], [-1650, 3.03], [-1571, 4.76], [172, 6.5], [15, 8.78], [15, 8.78], [18, 9.33], [-1, 12.72], [0, 14.12]]",p103-150234.csv,"2025-11-19 14:09:47.088777",91
103,raison,3691,"[[-3478, 1.99], [-3383, 1.99], [-3178, 3.72], [-3178, 5.38], [140, 7.26], [88, 9.21], [16, 16.86], [17, 17.45], [-1, 21.55], [0, 22.9]]",p103-150234.csv,"2025-11-19 14:09:47.088777",92
103,récurrence,3783,"[[-3601, 0.74], [-3396, 1.79], [-3397, 1.79], [-3319, 3.27], [289, 4.55], [216, 6.54], [-3, 35.39], [-3, 35.39], [1, 36.57], [0, 39.35]]",p103-150234.csv,"2025-11-19 14:09:47.088777",93
104,damasquinerie,1213,"[[-1213, 2.32], [-768, 3.29], [-700, 4.9], [190, 7.86], [-9, 9.77], [54, 10.87], [-2, 17.63], [0, 18.92]]",p104-151053.csv,"2025-11-19 14:15:10.885253",96
104,galonner,2026,"[[-2026, 1.43], [123, 3.43], [394, 3.97], [326, 4.46], [68, 6.14], [-37, 6.81], [16, 7.99], [-3, 10.78], [0, 12.08]]",p104-151053.csv,"2025-11-19 14:15:10.885253",97
104,dindon,1466,"[[-1466, 1.12], [73, 4.64], [-84, 5.72], [-11, 7.28], [-11, 7.28], [-17, 8.18], [2, 11.02]]",p104-151053.csv,"2025-11-19 14:15:10.885253",98
104,guerre,2122,"[[-2122, 1.15], [-583, 1.9], [-573, 2.16], [-49, 6.06], [-55, 7.02], [1, 16.01], [0, 17.08]]",p104-151053.csv,"2025-11-19 14:15:10.885253",99
104,récurrence,3783,"[[-3783, 1.29], [216, 5.09], [-10, 24.24], [0, 29.17]]",p104-151053.csv,"2025-11-19 14:15:10.885253",100
104,voiture,4854,"[[-12, 7.58], [-14, 8.1], [2, 10.49]]",p104-151053.csv,"2025-11-19 14:15:10.885253",101
104,vestiaires,4780,"[[-4780, 1.33], [-763, 1.94], [-865, 2.63], [98, 6.39], [109, 6.89], [-11, 11.7], [1, 13.96]]",p104-151053.csv,"2025-11-19 14:15:10.885253",102
104,vulvaires,4883,"[[-4883, 1.08], [-449, 1.6], [-448, 1.6], [-643, 4.86], [-863, 5.6], [-392, 7.85], [-570, 8.32], [-89, 9.45], [-120, 10.44], [-89, 11.56], [-67, 13.43], [-70, 14.11], [15, 19.9], [-5, 21.51], [0, 23.43], [-2, 24.09], [1, 24.76]]",p104-151053.csv,"2025-11-19 14:15:10.885253",103
104,raison,3691,"[[-990, 1.3], [-969, 1.46], [255, 3.89], [-27, 7.18], [-17, 7.18], [15, 8.57], [15, 8.57], [0, 12.43]]",p104-151053.csv,"2025-11-19 14:15:10.885253",104
104,dame,1214,"[[-418, 1.33], [-575, 1.49], [-43, 3.8], [-31, 4.16], [74, 5.57], [63, 5.57], [-21, 6.78], [0, 10.45]]",p104-151053.csv,"2025-11-19 14:15:10.885253",105
105,damasquinerie,1213,"[[-1213, 2.14], [-1040, 2.14], [-139, 4.68], [-139, 6.0], [64, 7.92], [1, 10.01], [12, 13.31], [12, 13.31], [11, 16.46], [-1, 19.45], [0, 21.36]]",p105-111050.csv,"2025-11-24 10:16:40.036359",106
105,dindon,1466,"[[-1466, 1.0], [-1158, 1.0], [-605, 2.7], [-605, 4.03], [-84, 7.76], [31, 8.91], [0, 9.72], [0, 11.16]]",p105-111050.csv,"2025-11-24 10:16:40.036359",107
105,vestiaires,4780,"[[-4780, 1.15], [-4617, 1.15], [-2767, 2.17], [119, 10.58], [-36, 10.59], [-35, 10.59], [-33, 14.0], [-30, 16.34], [-27, 18.44], [-19, 22.24], [2, 26.48], [0, 27.92]]",p105-111050.csv,"2025-11-24 10:16:40.036359",108
105,récurrence,3783,"[[-3783, 1.21], [-3639, 1.21], [-2283, 2.22], [-25, 11.51], [59, 12.15], [38, 12.88], [59, 13.89], [27, 15.15], [90, 16.04], [27, 17.65], [33, 21.31], [15, 24.15], [16, 24.44], [-2, 28.95], [-1, 30.26], [0, 32.28]]",p105-111050.csv,"2025-11-24 10:16:40.036359",109
105,guerre,2122,"[[-2122, 1.46], [-1930, 1.46], [-1454, 2.59], [118, 8.9], [-39, 12.58], [24, 14.38], [-18, 17.86], [-1, 22.19], [-2, 23.3], [-3, 23.92], [0, 26.52]]",p105-111050.csv,"2025-11-24 10:16:40.036359",110
105,vulvaires,4883,"[[-4883, 1.12], [-4710, 1.13], [-1175, 2.31], [-110, 9.26], [6, 12.3], [-31, 14.67], [-2, 21.35], [2, 22.81], [0, 25.1]]",p105-111050.csv,"2025-11-24 10:16:40.036359",111
105,galonner,2026,"[[-2026, 1.27], [-1882, 1.27], [-448, 2.34], [57, 6.03], [47, 6.03], [-16, 8.47], [-16, 8.47], [8, 12.3], [-2, 14.07], [0, 15.82]]",p105-111050.csv,"2025-11-24 10:16:40.036359",112
105,gaspillages,2038,"[[-2038, 1.09], [3, 2.21], [-112, 2.83], [-7, 5.38], [2, 7.26], [0, 8.67]]",p105-111050.csv,"2025-11-24 10:16:40.036359",113
105,raison,3691,"[[-487, 1.01], [-519, 1.58], [130, 4.54], [-38, 6.47], [4, 7.76], [-6, 9.21], [-10, 9.95], [5, 11.37], [0, 14.32]]",p105-111050.csv,"2025-11-24 10:16:40.036359",114
105,rouillures,4065,"[[-276, 6.99], [-286, 7.84], [18, 13.2], [-2, 16.29], [0, 18.3]]",p105-111050.csv,"2025-11-24 10:16:40.036359",115
105,voiture,4854,"[[-4854, 1.82], [-102, 10.64], [-3, 25.69], [-5, 26.85], [1, 28.65], [0, 29.96]]",p105-111050.csv,"2025-11-24 10:16:40.036359",116
105,dame,1214,"[[-1214, 3.21], [-261, 4.41], [-387, 5.35], [74, 7.03], [0, 10.53]]",p105-111050.csv,"2025-11-24 10:16:40.036359",117
106,rouillures,4065,"[[-4065, 3.33], [-3883, 3.33], [-3746, 4.75], [-3775, 5.6], [-3610, 6.23], [-317, 17.58], [-338, 19.35], [-338, 19.35], [6, 42.86], [6, 42.86], [0, 46.31]]",p106-111742.csv,"2025-11-24 10:24:00.858243",118
106,damasquinerie,1213,"[[-1213, 1.05], [-1086, 6.69], [-855, 8.58], [-875, 8.58], [-758, 10.7], [-758, 12.95], [-826, 12.95], [-700, 12.95], [190, 18.59], [-6, 28.11], [1, 29.97], [0, 31.58]]",p106-111742.csv,"2025-11-24 10:24:00.858243",119
106,dame,1214,"[[-1214, 1.69], [-1070, 1.69], [-905, 2.9], [-906, 2.9], [-905, 4.56], [-906, 4.56], [-779, 5.89], [-780, 5.89], [-566, 7.5], [115, 9.74], [63, 11.02], [-2, 17.53], [0, 19.63]]",p106-111742.csv,"2025-11-24 10:24:00.858243",120
106,guerre,2122,"[[-2122, 2.44], [-1939, 4.43], [-1833, 4.43], [-1687, 6.03], [-1688, 6.03], [-1693, 8.02], [55, 13.53], [-49, 15.17], [-51, 16.02], [-13, 23.63], [-18, 24.8], [1, 28.42], [0, 30.08]]",p106-111742.csv,"2025-11-24 10:24:00.858243",121
106,voiture,4854,"[[-4854, 1.97], [-4739, 1.98], [-4612, 2.96], [-4613, 2.96], [-4574, 4.04], [-4575, 4.04], [-4467, 4.94], [-4468, 4.95], [-4390, 6.31], [-91, 14.2], [1, 29.05]]",p106-111742.csv,"2025-11-24 10:24:00.858243",122
106,gaspillages,2038,"[[-2038, 1.47], [-2000, 2.66], [-2028, 2.66], [-1891, 2.66], [97, 9.01], [56, 10.59], [-28, 12.55], [-15, 14.65], [-18, 15.33], [1, 19.31]]",p106-111742.csv,"2025-11-24 10:24:00.858243",123
106,galonner,2026,"[[-2026, 2.78], [130, 6.29], [-2, 12.64], [0, 14.02]]",p106-111742.csv,"2025-11-24 10:24:00.858243",124
106,vulvaires,4883,"[[-4787, 2.22], [-4681, 2.22], [-4642, 3.68], [-120, 9.28], [-141, 10.06], [-1, 21.17], [0, 22.24]]",p106-111742.csv,"2025-11-24 10:24:00.858243",125
106,raison,3691,"[[-3691, 1.18], [-3547, 1.18], [-3420, 2.35], [-3421, 2.35], [-3372, 3.52], [-3373, 3.52], [-3285, 4.46], [-3286, 4.46], [-3207, 5.54], [46, 10.68], [4, 12.16], [2, 13.42]]",p106-111742.csv,"2025-11-24 10:24:00.858243",126
